row_index,PC1,PC2,PC3
41,10.206749072945957,-84.31864847468708,58.59234840933567
42,-151.68114948422968,-116.80809984941266,-45.38175248644239
43,229.30955147459798,-114.53296454748588,-130.62067536533007
44,52.836542288770566,-161.52238294877858,41.29012624215761
45,301.9347601101905,-54.66442373994074,91.96221867125605
46,974.7653685013855,200.6223423675499,679.7362982734404
47,-3.2254849623015227,-147.47982367273946,-73.18222860490371
48,-205.01413307517652,-71.09072100800309,-6.421054465583779
49,-270.77501152143583,167.49665969305315,-3.550090931092034
50,553.3475225168204,401.2337827827361,-259.03886563034683
51,41.73607211212197,-86.88932407488353,180.7091551733598
52,14.455538807720439,-100.19218978993075,70.32321347802831
53,-184.73143750992995,210.83412065623648,-35.48071536073263
54,-274.47358287798863,199.78860689000885,-58.208048747687506
55,99.42772132009983,45.37781219336672,-17.190411963269398
56,-252.72062436276045,93.49591114350856,-25.95333339219268
57,58.49227375910688,-185.0030435944564,16.20285545735884
58,-227.4300610561738,51.87158884980449,-29.349569147080082
59,-151.3048777638444,-161.3373901779048,-55.18523913846395
60,282.701912904704,-150.99810481286022,-113.76420112432764
61,340.1620011276247,-103.0684684327399,155.99099892685004
62,-162.18311991715296,-104.836645893694,-72.50280355517556
63,709.240639714956,44.140923628351665,-143.28155644370727
64,-322.7661758343189,254.04238626512534,11.247741696313048
65,-171.04230317140485,-9.558102591618214,-83.3046862327683
66,290.3534307581808,-125.12543215286259,-61.42171203877443
67,-44.117440677140884,191.219653337354,208.1280430219877
68,-166.33756797627728,-31.864845023677013,-2.4958755903191476
69,-266.48541447246185,138.40728074130257,-45.67452446778415
70,1058.3197689270867,438.76034425041973,-528.4744046703585
71,142.38264494237825,-208.84773063255025,-67.70535907114423
72,-321.6695750186346,319.0512740431745,29.73196189187334
73,-98.22759166558265,101.09070984849184,-60.58053869336469
74,-275.26769615689904,212.8912412818689,-21.497252112579883
75,-235.35360615802261,117.04617185498626,-13.20686693872318
76,-311.4360331681538,357.3139100804808,4.865984850879677
77,30.89313410272191,-81.65831294289148,153.54520321091118
78,-250.75193295886046,100.79496278421487,-44.75425333986189
79,-372.5144807244863,411.6904582152425,74.62988149779241
80,168.1781861858222,-133.6611594381006,558.7914130844581
81,-405.7054643512527,474.70323496677446,54.490561871796814
82,678.9140863182467,59.96814529686802,-70.94289326209099
83,-35.78223696193113,-51.39626010857704,-48.93452680440436
84,-37.8979572141095,-163.9495229989655,-6.57196078467385
85,-266.7528660529678,105.37411082033898,-14.026791068939351
86,626.8977135358164,431.0520156451504,-274.38584181899887
87,-411.0012664225398,624.9156396034454,54.6571680162509
88,-151.71925350800288,-157.6863549126603,-79.83703043405414
89,-179.57103210712077,182.47462267850733,-72.56128098353823
90,-257.8986914573862,96.57600925210359,-24.49100500336134
91,-179.12989586936413,-183.9395765175236,-31.839978998861724
92,-134.25485650134763,-163.9563060708407,-75.46082424281036
93,-513.3417997958696,666.0703461126546,56.4011038190599
94,30.316197600223823,-68.02240422127207,186.9085232772118
95,-220.10141762361548,-105.51156756930132,-31.566985398642068
96,-349.8835846162558,335.71026958989927,34.423740136009165
97,-320.90901730209293,364.01967180498895,-12.760420395958448
98,-283.3867279210878,120.92667474302333,-17.75212009621913
99,-148.85894102433144,-154.8317601342969,-88.58967961486762
100,397.96092108708893,-11.704173891637854,356.38790990584073
101,-258.7876033066303,306.22772259222796,9.926742960485509
102,-1.6788686079738133,-191.34259436089692,-19.830159533351722
103,-292.713573824733,308.8365012030792,19.292175582226413
104,-184.25429010012456,-71.82506130334495,-60.53791059698514
105,-189.15016548874829,-14.41690986251485,-46.656996543580284
106,-412.8135996466027,432.1622256593005,49.79508282947578
107,96.68554989731128,1017.7976887221323,1454.6941738518753
108,-317.9914063439601,361.0305101716369,122.80084962331452
109,-270.0824103622798,125.38168313268817,-23.999750709335295
110,-197.4749841092694,35.69033497511859,-38.418291228231524
111,-267.47711908646664,127.23108805962084,-5.392729739977181
112,-120.97989026199546,-137.59440585324788,-74.48638298453224
113,-170.6153895972903,-180.71550556695567,-104.06353324735194
114,1367.5145321390448,271.4842395111788,539.1809476181085
115,114.84441205479763,-146.4654946191013,-12.99807513158842
116,-355.4705749963354,303.7397003241851,-29.945581717114553
117,-508.97720578142344,412.03158921104824,-130.81327771361387
118,-18.499294945538995,172.42786608038298,294.5926867637112
119,414.4222877283177,-133.52647570275323,343.5316818155163
120,-326.6330646394563,242.79447978936884,-11.386459100347013
121,219.9617315957731,175.24110104715916,494.39809180464607
122,282.1242627738742,281.629898833756,736.1104668529349
123,-112.54408127468596,129.24646445102974,-33.78860912791786
124,-280.5690388723381,210.99162216010387,-18.296407478639072
125,-297.9255037671376,243.05385191333366,-10.03744332105163
126,1030.9486348402486,125.28729380788997,-159.48501352683067
127,841.694733792144,840.6856063195629,-313.47885390261945
